model,batch_inference_latency_ms,single_sample_latency_ms,f1_score,fpr
Random Forest,0.0393,0.0393,0.7944,0.0082
XGBoost,0.0081,0.0081,0.7926,0.0083
CatBoost,0.0086,0.0086,0.8182,0.0073
LightGBM,0.0247,0.0247,0.7971,0.0082
Decision Tree,0.0,0.0,0.804,0.0078
Logistic Regression,0.0,0.0,0.6968,0.0194
