experiment_id,variant,model,dataset,seed,accuracy,precision,recall,f1_score,fpr,timestamp,feature_schema_version
EXP-2026-002,Full Pipeline (Selection + SMOTE),Random Forest,CICIDS2017_Synthetic_Benchmark,42,0.857,0.796,0.7946,0.7928,0.0083,2026-08-13T11:10:30.228936+00:00,schema-v1.0
EXP-2026-002,Without Feature Selection,Random Forest,CICIDS2017_Synthetic_Benchmark,42,0.985,0.9792,0.9792,0.9788,0.0009,2026-08-13T11:10:30.228936+00:00,schema-v1.0
EXP-2026-002,Without SMOTE Balancing,Random Forest,CICIDS2017_Synthetic_Benchmark,42,0.861,0.8035,0.7995,0.7992,0.0081,2026-08-13T11:10:30.228936+00:00,schema-v1.0
